"panel_code","panel_name","panelist_name","affiliation","chair","panel_category","year"
"102","Elektrotechnika a kybernetika","Doc.Ing. Pavel Václavek"," Vysoké učení technické v Brně - Fakulta elektrotechniky a komunikačních technologií","Prof. Ing. Václav Přenosil, CSc. - předseda","sub-branch","2008"
"102","Elektrotechnika a kybernetika","Prof. Ing. Karel Vlček"," Univerzita Tomáše Bati ve Zlíně","Prof. Ing. Václav Přenosil, CSc. - předseda","sub-branch","2008"
"102","Elektrotechnika a kybernetika","Prof. Ing. Jan Vrba"," České vysoké učení technické v Praze - Fakulta elektrotechnická","Prof. Ing. Václav Přenosil, CSc. - předseda","sub-branch","2008"
"102","Elektrotechnika a kybernetika","Ing. Petr Zagalak"," Ústav teorie informace a automatizace AV ČR","Prof. Ing. Václav Přenosil, CSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Prof. Ing. Jiří Adámek"," Vysoké učení technické v Brně - Fakulta stavební","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Ing. Vlastimil Bílek"," Železniční průmyslová stavební výroba a.s.","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Doc. Ing. Petr Bouška"," České vysoké učení technické v Praze - Kloknerův ústav","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Prof. Ing. Milena Císlerová"," České vysoké učení technické v Praze - Fakulta stavební","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Doc.Ing. Pavel Drdla"," Univerzita Pardubice - Dopravní fakulta Jana Pernera","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Prof. Ing. Rostislav Drochytka"," Vysoké učení technické v Brně - Fakulta stavební","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Ing. Zdeněk Chára"," Ústav pro hydrodynamiku AV ČR","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Prof. Ing. Josef Jíra"," České vysoké učení technické v Praze - Fakulta dopravní","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Doc. Ing. Alena Kohoutková"," České vysoké učení technické v Praze - Fakulta stavební","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Doc. Ing. Bohumil Kubát"," České vysoké učení technické v Praze - Fakulta dopravní","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Prof. Ing. Jindřich Melcher"," Vysoké učení technické v Brně - Fakulta stavební","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Prof. Ing. Vlastislav Mojžíš"," Univerzita Pardubice - Dopravní fakulta Jana Pernera","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Ing. Jiří Náprstek"," Ústav teoretické a aplikované mechaniky AV ČR","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Doc. Ing. Alexandr Rozsypal"," Stavební geologie - Geotechnika","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Doc. Ing. Vlastimil Stara"," Vysoké učení technické v Brně - Fakulta stavební","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Prof.Ing.arch. Jiljí Šindlar"," Vysoké učení technické v Brně - Fakulta architektury","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Doc. Ing. Petr Škapa"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta strojní","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"103","Stavebnictví, architektura a doprava","Prof. Ing. Ivan Vaníček"," České vysoké učení technické v Praze - Fakulta stavební","Ing. Jiří Náprstek, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Prof. RNDr. Jaroslav Cihlář"," Vysoké učení technické v Brně - Fakulta strojního inženýrství","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Prof. Ing. Jiří Čejka"," Ústav fyzikální chemie J. Heyrovského AV ČR","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Prof. Ing. Libor Červený"," Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Doc. Ing. Jiří Hostomský"," Ústav anorganické chemie AV ČR","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Doc. Ing. Jitka Jandová"," Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
"104","Technická chemie","Doc. Ing. Josef Janků"," Vysoká škola chemicko-technologická v Praze - Fakulta technologie ochrany prostředí","Prof. Ing. Jiří Čejka, DrSc. - předseda","sub-branch","2008"
