"panelist_name","panel_name","panelist_affiliation","data_category","year"
"Lenka Rovná","Právní vědy, politologie","Univerzita Karlova v Praze Fakulta sociálních věd Praha 1","sub-branch","2007"
"Milan Znoj","Právní vědy, politologie","Univerzita Karlova v Praze Filozofická fakulta Praha 1","sub-branch","2007"
"Jarmila Doubravová","Estetika, hudební věda a vědy o umění","Praha 10","sub-branch","2007"
"Roman Dykast","Estetika, hudební věda a vědy o umění","Akademie múzických umění v Praze Hudební fakulta Praha 1","sub-branch","2007"
"Leoš Faltus","Estetika, hudební věda a vědy o umění","Janáčkova akademie múzických umění v Brně Hudební fakulta Brno","sub-branch","2007"
"Július Gajdoš","Estetika, hudební věda a vědy o umění","Masarykova univerzita Filozofická fakulta Brno","sub-branch","2007"
"Jana Hlaváčková","Estetika, hudební věda a vědy o umění","Univerzita Karlova v Praze Filozofická fakulta Praha 1","sub-branch","2007"
"Ondřej Jakubec","Estetika, hudební věda a vědy o umění","Muzeum umění Olomouc, státní příspěvková organizace Olomouc","sub-branch","2007"
"Petra Hanáková","Estetika, hudební věda a vědy o umění",", Univerzita Karlova v Praze Filozofická fakulta Praha 1","sub-branch","2007"
"Vojtěch Lahoda","Estetika, hudební věda a vědy o umění","Ústav dějin umění AV ČR, Praha 1","sub-branch","2007"
"Jiří Luska","Estetika, hudební věda a vědy o umění","Univerzita Palackého v Olomouci Pedagogická fakulta Olomouc","sub-branch","2007"
"Taťána Petrasová","Estetika, hudební věda a vědy o umění","Ústav dějin umění AV ČR, Praha 1","sub-branch","2007"
"Alena Pomajzlová","Estetika, hudební věda a vědy o umění","Masarykova univerzita Filozofická fakulta Brno","sub-branch","2007"
"Karel Steinmetz","Estetika, hudební věda a vědy o umění","Univerzita Palackého v Olomouci Pedagogická fakulta Olomouc","sub-branch","2007"
"Jaroslav Vostrý","Estetika, hudební věda a vědy o umění","Akademie múzických umění v Praze Divadelní fakulta Praha 1","sub-branch","2007"
"Jana Burešová","Dějiny 19. a 20. století","Univerzita Palackého v Olomouci Filozofická fakulta Olomouc","sub-branch","2007"
"Vratislav Doubek","Dějiny 19. a 20. století","Univerzita Karlova v Praze Filozofická fakulta Praha 5","sub-branch","2007"
"Eva Gregorovičová","Dějiny 19. a 20. století","Národní archiv Praha 4 Chodovec","sub-branch","2007"
"Ladislav Hladký","Dějiny 19. a 20. století","Historický ústav AV ČR, Brno","sub-branch","2007"
"Bohumil Jiroušek","Dějiny 19. a 20. století","Jihočeská univerzita v Českých Budějovicích Filozofická fakulta České Budějovice","sub-branch","2007"
"Jiří Knapík","Dějiny 19. a 20. století","Slezská univerzita v Opavě Filozoficko-přírodovědecká fakulta Opava","sub-branch","2007"
"Barbara Köpplová","Dějiny 19. a 20. století","Univerzita Karlova v Praze Fakulta sociálních věd Praha 1","sub-branch","2007"
"Jiří Pokorný","Dějiny 19. a 20. století","Univerzita Karlova v Praze Pedagogická fakulta Praha 1","sub-branch","2007"
"Hana Svatošová","Dějiny 19. a 20. století","Magistrát Prahy odbor Archiv Prahy Praha 4","sub-branch","2007"
"Kamil Štěpánek","Dějiny 19. a 20. století","Masarykova univerzita Pedagogická fakulta Brno","sub-branch","2007"
"Miroslav Vaněk","Dějiny 19. a 20. století","Ústav pro soudobé dějiny AV ČR, Praha 1","sub-branch","2007"
"Václav Vondrášek","Dějiny 19. a 20. století","Ministerstvo obrany Univerzita obrany Brno","sub-branch","2007"
"Aleš Zářický","Dějiny 19. a 20. století","Ostravská univerzita v Ostravě Filozofická fakulta Ostrava 1","sub-branch","2007"
