"","panelist","panel","year","url"
"1","doc. Ing. Petr Svoboda, Ph.D. (předseda)","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"2","doc. Ing. Jan Vimmr, Ph.D. (místopředseda)","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"3","doc. Ing. Stanislav Honus, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"4","doc. Ing. Lubomír Klimeš, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"5","Ing. Radek Kolman, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"6","doc. Ing. Nataša Náprstková, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"7","Ing. Libor Sitek, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"8","prof. Ing. Zbyněk Šika, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"9","prof. Dr. Ing. Tomáš Vampola","Strojní inženýrství (Mechanical Engineering) - P101",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"10","prof. Ing. Jan Franc, DrSc. (předseda)","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"11","prof. Ing. Radimír Vrba, CSc. (místopředseda)","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"12","Ing. Ondřej Číp, Ph.D.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"13","prof. Ing. Pavel Hazdra, CSc.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"14","doc. Ing. Jan Jeřábek, Ph.D.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"15","doc. Ing. Pavel Peterka, Ph.D.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"16","Ing. Martin Pospíšilík, Ph.D.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"17","doc. Ing. Ivan Richter, Dr.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"18","prof. Ing. Pavel Ripka, CSc.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"19","prof. Dr.-Ing. Jan Vrba, MSc.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"20","Ing. Jiří Mekyska, Ph.D. (předseda)","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"21","prof. RNDr. Olga Štěpánková, CSc. (místopředsedkyně)","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"22","doc. RNDr. Tomáš Brázdil, Ph.D.","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"23","doc. Ing. Radim Burget, Ph.D.","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"24","doc. Ing. Pavel Král, Ph.D.","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"25","Ing. Filip Plešinger, Ph.D.","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"26","prof. Ing. Aleš Procházka, CSc.","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"27","Ing. Mgr. Branislav Rehák, Ph.D.","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"28","prof. RNDr. Tomáš Skopal, Ph.D.","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"29","prof. Ing. Tomáš Vojnar, Ph. D.","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ) - P103",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"30","doc. Ing. Eva Vejmelková, Ph.D. (předsedkyně)","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"31","doc. Ing. Radomír Sokolář, Ph.D. (místopředseda)","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"32","prof. Ing. Jiří Brožovský, Ph.D.","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"33","prof. Ing. Vladimír Gryc, Ph.D.","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"34","doc. Ing. arch. Karel Hájek, Ph.D.","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"35","doc. Ing. Tomáš Opravil, Ph.D.","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"36","doc. Ing. arch. Jiří Palacký, Ph.D.","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"37","doc. Ing. Iveta Skotnicová, Ph.D.","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"38","Ing. Miroslav Vokáč, Ph.D.","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"39","doc. Ing. Jiří Zach, Ph.D.","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science) - P104",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"40","prof. Ing. Zbyněk Keršner, CSc. (předseda)","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics) - P105",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"41","prof. Ing. Radim Čajka, CSc. (místopředseda)","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics) - P105",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"42","prof. Ing. Petr Hájek, CSc., FEng.","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics) - P105",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"43","prof. Ing. Antonín Lokaj, Ph.D.","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics) - P105",2022,"https://wayback.webarchiv.cz/wayback/20221024073116/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
