"panel_name","panel_code","first_name","second_name","titles","affiliation","year","url"
"Elektrotechnika a kybernetika",102,"Miroslav","Pokorný","Prof. Dr. Ing.","Vysoká škola báňská - Technická univerzita Ostrava - Fakulta elektrotechniky a informatiky",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika",102,"Václav","Přenosil","Prof. Ing.","Masarykova univerzita - Fakulta informatiky",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika",102,"Vladimír","Schejbal","Prof. Ing.","Univerzita Pardubice - Dopravní fakulta Jana Pernera",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika",102,"Luděk","Schreier","Ing.","Ústav termomechaniky AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika",102,"Miroslav","Šimandl","Prof. Ing.","Západočeská univerzita v Plzni - Fakulta aplikovaných věd",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika",102,"Pavel","Václavek","Doc. Ing.","Vysoké učení technické v Brně - Fakulta elektrotechniky a komunikačních technologií",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika",102,"Karel","Vlček","Prof. Ing.","Univerzita Tomáše Bati ve Zlíně",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika",102,"Jan","Vrba","Prof. Ing.","České vysoké učení technické v Praze - Fakulta elektrotechnická",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika",102,"Petr","Zagalak","Ing.","Ústav teorie informace a automatizace AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Jiří","Adámek","Prof. Ing.","Vysoké učení technické v Brně - Fakulta stavební",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Vlastimil","Bílek","Ing.","Železniční průmyslová stavební výroba a.s.",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Petr","Bouška","Doc. Ing.","České vysoké učení technické v Praze - Kloknerův ústav",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Milena","Císlerová","Prof. Ing.","České vysoké učení technické v Praze - Fakulta stavební",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Pavel","Drdla","Doc. Ing.","Univerzita Pardubice - Dopravní fakulta Jana Pernera",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Stavebnictví, architektura a doprava",103,"Rostislav","Drochytka","Prof. Ing.","Vysoké učení technické v Brně - Fakulta stavební",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
